epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.929,1.84841,2.48215,1.81957,0.34633,0.28,0.19157,0.0398,1.95553,3.3358,2.01008,0.00065641,0.00065641,0.00065641
2,766.765,1.81819,2.1297,1.80028,0.21024,0.28,0.12237,0.0497,2.49871,3.29775,2.05099,0.00121723,0.00121723,0.00121723
3,1722.56,1.80599,1.93737,1.76934,0.7844,0.36,0.46753,0.15521,2.30935,3.07583,2.24749,0.00167138,0.00167138,0.00167138
4,2494.33,1.79261,1.88989,1.75429,0.42691,0.32,0.29431,0.07776,2.33057,2.78078,2.2668,0.00152,0.00152,0.00152
5,4068.8,1.75291,1.77976,1.7271,0.50821,0.56,0.54063,0.15864,2.23883,2.23832,1.98033,0.00136,0.00136,0.00136
6,4890.03,1.70207,1.6559,1.66753,0.96543,0.6,0.70724,0.24098,2.1911,1.94546,1.92234,0.0012,0.0012,0.0012
7,5725.61,1.68013,1.55413,1.63451,1,0.42925,0.62512,0.25702,1.99958,2.04964,1.86502,0.00104,0.00104,0.00104
8,6798.15,1.62279,1.46532,1.60448,0.4651,0.76,0.59314,0.2246,2.31402,1.81902,1.99744,0.00088,0.00088,0.00088
9,7510.45,1.60403,1.41485,1.59027,0.78749,0.59322,0.68262,0.30602,1.98509,1.787,1.78914,0.00072,0.00072,0.00072
10,8344.82,1.5501,1.32292,1.54958,1,0.63023,0.70162,0.27867,2.09367,1.78451,1.87799,0.00056,0.00056,0.00056
