                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8076,                 2.3531,                 1.7286,                0.44953,                   0.28,                0.27242,                0.10338,                 2.3254,                 2.7331,                 1.9782,             0.00065641,             0.00065641,             0.00065641
                      2,                 1.7856,                  2.011,                 1.7201,                0.25373,                   0.12,                0.09264,                0.02649,                 2.3644,                 4.8314,                 2.4299,              0.0012878,              0.0012878,              0.0012878
                      3,                 1.8089,                 1.9674,                  1.732,                0.08618,                    0.2,                 0.0925,                0.02328,                 2.3702,                 3.8731,                 2.4611,              0.0018836,              0.0018836,              0.0018836
                      4,                 1.8103,                 1.9238,                 1.7358,                0.58854,                   0.24,                0.29697,                0.13285,                 2.1847,                 2.7054,                 1.9925,                0.00184,                0.00184,                0.00184
                      5,                 1.7621,                 1.8686,                 1.6982,                      1,                0.11923,                0.12952,                0.04836,                  2.262,                 3.3606,                 2.2133,              0.0017867,              0.0017867,              0.0017867
                      6,                 1.7401,                 1.7913,                 1.6791,                0.58265,                   0.56,                0.60011,                 0.2829,                 1.9581,                 2.0337,                 1.7544,              0.0017333,              0.0017333,              0.0017333
                      7,                 1.7129,                 1.7473,                 1.6482,                0.85212,                   0.44,                0.56102,                0.21294,                 2.0828,                 2.1573,                 1.8953,                0.00168,                0.00168,                0.00168
                      8,                 1.6963,                 1.7082,                 1.6438,                0.69412,                   0.56,                0.61587,                0.35675,                 1.8794,                 1.8234,                  1.658,              0.0016267,              0.0016267,              0.0016267
                      9,                 1.6679,                  1.644,                 1.6268,                0.79127,                   0.36,                0.54095,                0.20175,                 2.1501,                 2.3763,                 1.9815,              0.0015733,              0.0015733,              0.0015733
                     10,                 1.6565,                 1.6034,                 1.5955,                0.70803,                   0.68,                0.66819,                0.26525,                 2.1591,                  1.784,                 1.8607,                0.00152,                0.00152,                0.00152
                     11,                 1.6196,                 1.5644,                  1.579,                0.86663,                   0.64,                0.66505,                0.23785,                 2.4581,                 1.9628,                 2.0403,              0.0014667,              0.0014667,              0.0014667
                     12,                 1.6163,                 1.5715,                 1.5828,                0.94085,                0.63649,                0.70435,                0.23206,                 2.1311,                 2.1489,                 1.9071,              0.0014133,              0.0014133,              0.0014133
                     13,                 1.6119,                 1.4982,                 1.5622,                0.83486,                   0.68,                0.68447,                0.29853,                 1.9138,                 1.9583,                 1.7906,                0.00136,                0.00136,                0.00136
                     14,                  1.592,                 1.5061,                 1.5683,                0.56587,                   0.52,                0.50087,                0.15838,                 2.1678,                 2.2746,                 1.9952,              0.0013067,              0.0013067,              0.0013067
                     15,                 1.5837,                 1.5024,                 1.5592,                0.92713,                0.50954,                0.57387,                0.22901,                 2.1186,                 2.0629,                 1.9227,              0.0012533,              0.0012533,              0.0012533
                     16,                 1.5711,                 1.4591,                 1.5349,                0.64409,                    0.6,                0.57271,                0.21213,                 2.4641,                 1.9277,                 1.9851,                 0.0012,                 0.0012,                 0.0012
                     17,                  1.534,                 1.4104,                 1.5206,                0.85055,                0.68307,                0.73618,                0.32189,                 2.0802,                 1.6912,                 1.8836,              0.0011467,              0.0011467,              0.0011467
                     18,                 1.5618,                 1.4136,                 1.5325,                0.87659,                    0.6,                0.70265,                 0.2975,                 2.0021,                 1.8271,                  1.705,              0.0010933,              0.0010933,              0.0010933
                     19,                 1.5255,                 1.4039,                 1.5139,                  0.611,                   0.76,                0.69815,                0.31672,                 1.9515,                 1.6228,                 1.7464,                0.00104,                0.00104,                0.00104
